,frequency
that,647
thou,387
with,380
which,303
from,283
then,233
when,210
this,202
said,179
there,176
were,173
their,171
they,164
thee,151
them,142
here,119
have,116
other,114
down,110
what,109
such,103
where,101
thus,99
those,90
upon,90
through,89
more,85
still,82
teacher,73
these,72
each,72
turned,71
made,71
than,70
eyes,69
great,69
like,65
both,64
leader,62
will,60
while,59
come,58
first,56
place,56
people,56
because,55
face,55
toward,55
even,54
would,54
whom,53
little,53
into,52
before,52
world,52
been,51
tell,50
again,49
words,49
well,48
side,47
know,47
back,46
came,46
hence,44
feet,43
left,43
circle,42
dost,42
since,41
though,40
o’er,40
head,40
make,39
after,39
every,39
whose,39
round,38
once,37
around,36
began,36
time,36
behind,36
shall,36
long,36
himself,36
trench,36
speak,36
away,35
another,35
inferno,35
yonder,34
many,34
mine,34
thereat,33
pain,33
cried,33
therefore,33
already,33
heard,33
much,33
along,33
should,32
must,32
replied,32
only,32
soul,31
could,31
fear,31
just,30
thine,30
bank,30
within,30
further,30
without,29
seemed,29
doth,29
some,28
your,28
good,28
against,28
over,27
together,27
among,27
hath,27
wholly,27
others,27
went,27
moved,26
hear,26
above,26
right,26
rest,26
life,26
beheld,26
three,26
love,25
never,25
path,25
look,24
fire,24
water,24
things,24
death,24
myself,23
about,23
seen,23
times,23
thought,23
took,23
forth,23
town,23
high,22
perceived,22
think,22
heart,22
bottom,22
speech,22
alone,21
reached,21
dark,21
ever,21
looks,20
makes,20
hands,20
spirits,20
give,20
mind,20
take,20
rock,20
going,20
dead,19
crag,19
thereupon,19
fraud,19
shalt,19
blood,19
below,19
behold,19
name,19
near,19
between,19
hair,19
turn,19
itself,19
heaven,19
next,19
ring,19
less,19
held,19
flame,19
hard,19
whence,18
nature,18
hast,18
body,18
evil,18
gave,18
none,18
tears,18
very,18
beneath,18
ground,18
light,17
wild,17
fell,17
unto,17
hand,17
full,17
called,17
eighth,17
drew,17
looked,17
land,17
edge,17
hell,17
born,16
answered,16
neath,16
seems,16
foot,16
soon,16
stretched,16
coming,16
kept,16
breast,16
caused,16
lost,16
sight,16
bridge,16
descend,16
stream,16
perhaps,16
power,15
return,15
course,15
wind,15
raised,15
ditch,15
became,15
seeing,15
beast,15
canst,15
wretched,15
woeful,15
goes,15
road,15
spirit,15
cause,15
arms,15
greater,15
steps,15
mouth,15
tongue,15
hold,14
keep,14
lord,14
teeth,14
wings,14
souls,14
last,14
eternal,14
themselves,14
alive,14
having,14
second,14
shades,14
father,14
given,14
wood,14
poet,14
found,14
appeared,14
truth,14
sweet,13
pitch,13
wouldst,13
voice,13
till,13
show,13
whether,13
needs,13
earth,13
most,13
across,13
neck,13
gone,13
shade,13
stopped,13
lies,13
under,13
seem,13
reason,13
weary,13
mighty,13
might,12
third,12
faces,12
talk,12
close,12
gloomy,12
shoulders,12
latter,12
hope,12
intent,12
wherewith,12
didst,12
pray,12
cold,12
e’er,12
folk,12
cruel,12
save,12
whereat,12
answer,12
surely,12
fortune,12
short,12
broken,12
spoke,12
human,12
deep,11
true,11
middle,11
desire,11
tail,11
become,11
pass,11
legs,11
mountain,11
divine,11
seed,11
front,11
leave,11
fame,11
thyself,11
ne’er,11
knew,11
stay,11
anger,11
afterward,11
thence,11
move,11
seventh,11
foul,11
sand,11
weeping,11
form,11
being,11
thousand,11
lovely,11
felt,11
plain,11
until,11
takes,11
therein,11
shame,11
nothing,11
shore,10
sound,10
heed,10
black,10
asked,10
used,10
ears,10
likewise,10
violence,10
opened,10
believe,10
find,10
burned,10
king,10
lofty,10
issued,10
wished,10
herself,10
single,10
lest,10
heads,10
passed,10
afraid,10
bear,10
help,10
walls,10
seest,10
ev’n,10
changed,10
vain,10
boiling,10
flames,10
lead,10
fall,10
stood,10
unless,9
small,9
white,9
sinner,9
wherefore,9
abyss,9
strong,9
master,9
memory,9
advance,9
dismal,9
heavy,9
lying,9
green,9
wide,9
leaves,9
thoughts,9
honor,9
joined,9
ancient,9
fair,9
hundred,9
saying,9
bring,9
pierced,9
limbs,9
either,9
somewhat,9
neither,9
means,9
seized,9
else,9
ahead,9
looking,9
gate,9
stand,9
grief,9
fault,9
closed,9
follow,9
living,9
showed,9
enough,9
entered,9
praise,8
done,8
mayst,8
force,8
sixth,8
narrow,8
part,8
slope,8
summit,8
word,8
pity,8
downward,8
doing,8
same,8
enter,8
sides,8
years,8
account,8
rain,8
willed,8
arch,8
justice,8
deprived,8
thereby,8
naked,8
fallen,8
night,8
passing,8
stone,8
departed,8
thing,8
longer,8
recall,8
remember,8
rose,8
wast,8
shown,8
quickly,8
escape,8
alas,8
fifth,8
turns,8
beyond,8
company,8
wall,8
glad,8
silent,8
ceased,8
following,8
sudden,8
thrust,8
wrath,8
break,7
serpent,7
standing,7
vengeance,7
sorely,7
poor,7
giving,7
eager,7
least,7
also,7
see’st,7
fixed,7
order,7
hadst,7
brows,7
shape,7
reply,7
bodies,7
fourth,7
race,7
sake,7
belly,7
claws,7
filthy,7
cocytus,7
lady,7
escort,7
torment,7
painful,7
certainly,7
wisdom,7
sighs,7
comes,7
holds,7
upward,7
burning,7
indeed,7
boat,7
fast,7
understood,7
smote,7
ready,7
making,7
weep,7
trembling,7
rocks,7
placed,7
forms,7
gainst,7
cheeks,7
step,7
whole,7
moving,7
self,7
ought,7
point,7
colored,7
ridge,7
food,7
slow,7
blind,7
feel,7
reach,7
presence,7
wish,7
avail,7
bound,7
color,7
descended,7
wounds,7
returned,7
breath,7
chin,6
known,6
journey,6
told,6
kind,6
pointed,6
please,6
half,6
virgil,6
quenched,6
fruit,6
anguish,6
spread,6
loss,6
uttered,6
hooks,6
sinners,6
frightful,6
wept,6
climbed,6
punishment,6
tongues,6
beasts,6
hidden,6
daring,6
live,6
person,6
thebes,6
blows,6
whereby,6
late,6
wounded,6
trust,6
present,6
seven,6
mates,6
foolish,6
moment,6
sympathy,6
snakes,6
waves,6
whene’er,6
weight,6
chest,6
erect,6
flight,6
died,6
trunk,6
days,6
moon,6
otherwise,6
gazing,6
pushed,6
city,6
tower,6
peter,6
marsh,6
virtue,6
pleased,6
knowledge,6
chosen,6
remain,6
turning,6
clear,6
meanwhile,6
trenches,6
reader,6
remained,6
nails,6
tomb,6
need,6
filled,6
demon,6
country,6
whither,6
often,6
wherein,6
greatly,6
gaze,6
therewith,6
circles,6
pride,6
different,6
midst,6
theirs,6
heat,6
although,6
outside,6
whate’er,6
fiercely,6
women,6
brought,6
frozen,6
minos,6
request,6
speaking,6
valley,6
blest,6
skin,6
gazed,6
backs,6
kindly,6
paunch,5
fate,5
attain,5
giants,5
vexed,5
sons,5
sleep,5
accursèd,5
guilt,5
five,5
cross,5
intellect,5
stands,5
signs,5
nearer,5
chance,5
leads,5
twisted,5
latin,5
horrid,5
withdraw,5
inside,5
sins,5
tree,5
shattered,5
always,5
wilt,5
coin,5
lake,5
crossed,5
suffering,5
