,frequency
that,647
thou,387
with,380
which,303
from,283
then,233
when,210
this,202
said,179
there,176
were,173
their,171
they,164
thee,151
them,142
here,119
have,116
other,114
down,110
what,109
where,103
such,103
thus,99
upon,90
those,90
through,89
more,85
still,82
teacher,73
these,72
each,72
turned,71
made,71
than,70
eyes,69
great,69
like,65
both,64
leader,62
will,60
while,59
come,58
first,56
place,56
people,56
face,55
toward,55
because,55
would,54
even,54
little,53
whom,53
into,52
before,52
world,52
been,51
tell,50
again,49
know,49
words,49
well,48
side,47
back,46
came,46
hence,44
left,43
feet,43
circle,42
dost,42
since,41
head,40
though,40
make,39
after,39
every,39
whose,39
round,38
once,37
began,36
shall,36
speak,36
around,36
long,36
behind,36
himself,36
trench,36
time,36
away,35
inferno,35
another,35
yonder,34
many,34
mine,34
pain,33
therefore,33
thereat,33
heard,33
much,33
cried,33
already,33
along,33
must,32
only,32
should,32
replied,32
soul,31
fear,31
could,31
just,30
thine,30
further,30
bank,30
within,30
seemed,29
without,29
doth,29
good,28
against,28
some,28
your,28
hath,27
among,27
together,27
went,27
over,27
others,27
wholly,27
hear,26
life,26
above,26
moved,26
beheld,26
rest,26
three,26
right,26
love,25
path,25
never,25
look,24
death,24
things,24
fire,24
water,24
times,23
myself,23
seen,23
about,23
town,23
forth,23
took,23
thought,23
perceived,22
high,22
bottom,22
heart,22
speech,22
think,22
wont,21
dark,21
alone,21
reached,21
ever,21
give,20
spirits,20
rock,20
take,20
going,20
mind,20
makes,20
looks,20
hands,20
thereupon,19
itself,19
near,19
turn,19
crag,19
held,19
between,19
hair,19
shalt,19
dead,19
fraud,19
ring,19
behold,19
hard,19
next,19
less,19
name,19
flame,19
blood,19
heaven,19
below,19
nature,18
none,18
tears,18
whence,18
evil,18
very,18
ground,18
hast,18
gave,18
beneath,18
body,18
unto,17
drew,17
light,17
land,17
looked,17
full,17
edge,17
called,17
fell,17
eighth,17
hand,17
wild,17
hell,17
caused,16
seems,16
coming,16
soon,16
stretched,16
neath,16
lost,16
sight,16
stream,16
perhaps,16
born,16
foot,16
kept,16
answered,16
descend,16
breast,16
bridge,16
canst,15
mouth,15
course,15
ditch,15
hold,15
wretched,15
return,15
goes,15
raised,15
road,15
beast,15
arms,15
tongue,15
wind,15
became,15
cause,15
power,15
seeing,15
spirit,15
woeful,15
steps,15
greater,15
shades,14
father,14
last,14
lord,14
having,14
eternal,14
themselves,14
second,14
alive,14
souls,14
given,14
keep,14
teeth,14
wings,14
wood,14
appeared,14
poet,14
truth,14
found,14
sweet,13
wouldst,13
across,13
most,13
lies,13
pitch,13
earth,13
voice,13
till,13
weary,13
mighty,13
shade,13
gone,13
under,13
neck,13
whether,13
show,13
reason,13
stopped,13
needs,13
seem,13
faces,12
answer,12
gloomy,12
pray,12
broken,12
close,12
third,12
wherewith,12
surely,12
short,12
whereat,12
didst,12
save,12
might,12
folk,12
human,12
shoulders,12
fortune,12
spoke,12
hope,12
intent,12
latter,12
talk,12
cold,12
cruel,12
desire,11
anger,11
therein,11
thence,11
nothing,11
become,11
move,11
front,11
sand,11
takes,11
stay,11
lovely,11
leave,11
plain,11
mountain,11
fame,11
divine,11
tail,11
shame,11
pass,11
being,11
weeping,11
knew,11
thousand,11
deep,11
seventh,11
middle,11
until,11
felt,11
legs,11
form,11
seed,11
afterward,11
true,11
thyself,11
foul,11
king,10
find,10
herself,10
help,10
used,10
lest,10
wished,10
lead,10
ears,10
bear,10
sound,10
cannot,10
boiling,10
lofty,10
issued,10
likewise,10
opened,10
asked,10
afraid,10
vain,10
stood,10
changed,10
believe,10
heed,10
passed,10
violence,10
single,10
seest,10
flames,10
walls,10
heads,10
burned,10
fall,10
black,10
shore,10
joined,9
leaves,9
bring,9
living,9
means,9
white,9
seized,9
entered,9
else,9
closed,9
ahead,9
sinner,9
memory,9
limbs,9
somewhat,9
looking,9
fault,9
strong,9
abyss,9
unless,9
grief,9
heavy,9
either,9
small,9
pierced,9
stand,9
advance,9
wide,9
wherefore,9
lying,9
fair,9
neither,9
hundred,9
green,9
follow,9
honor,9
gate,9
showed,9
dismal,9
saying,9
ancient,9
master,9
thoughts,9
enough,9
rain,8
justice,8
wall,8
glad,8
force,8
willed,8
recall,8
wast,8
turns,8
rose,8
enter,8
deprived,8
remember,8
downward,8
summit,8
narrow,8
beyond,8
word,8
sudden,8
shown,8
sixth,8
company,8
sides,8
fallen,8
night,8
departed,8
same,8
naked,8
years,8
doing,8
alas,8
stone,8
passing,8
slope,8
thereby,8
ceased,8
arch,8
wrath,8
thing,8
praise,8
done,8
silent,8
mayst,8
thrust,8
fifth,8
part,8
pity,8
longer,8
escape,8
account,8
quickly,8
following,8
color,7
hadst,7
fast,7
making,7
ready,7
burning,7
giving,7
break,7
eager,7
certainly,7
weep,7
rocks,7
brows,7
upward,7
race,7
presence,7
moving,7
whole,7
shape,7
ought,7
standing,7
slow,7
blind,7
reach,7
escort,7
cheeks,7
serpent,7
forms,7
indeed,7
placed,7
torment,7
bound,7
sighs,7
descended,7
holds,7
trembling,7
least,7
sake,7
wish,7
sorely,7
reply,7
food,7
smote,7
returned,7
fourth,7
point,7
also,7
vengeance,7
boat,7
breath,7
fixed,7
ridge,7
belly,7
order,7
feel,7
claws,7
poor,7
cocytus,7
step,7
understood,7
gainst,7
filthy,7
colored,7
bodies,7
wisdom,7
comes,7
lady,7
wounds,7
self,7
painful,7
avail,7
waves,6
turning,6
minos,6
meanwhile,6
blest,6
otherwise,6
uttered,6
loss,6
present,6
pride,6
greatly,6
whene,6
backs,6
peter,6
anguish,6
frightful,6
gazing,6
brought,6
chest,6
country,6
fiercely,6
weight,6
request,6
pointed,6
chosen,6
moon,6
tower,6
hidden,6
flight,6
heat,6
chin,6
pleased,6
women,6
late,6
whate,6
city,6
mates,6
known,6
beasts,6
spread,6
half,6
kindly,6
sinners,6
skin,6
daring,6
punishment,6
reader,6
foolish,6
filled,6
wherein,6
journey,6
midst,6
tongues,6
outside,6
hooks,6
virgil,6
remained,6
pushed,6
theirs,6
told,6
virtue,6
marsh,6
moment,6
trenches,6
wounded,6
blows,6
fruit,6
whereby,6
circles,6
nails,6
sympathy,6
different,6
thebes,6
kind,6
demon,6
often,6
valley,6
knowledge,6
whither,6
gaze,6
climbed,6
wept,6
trust,6
although,6
frozen,6
person,6
therewith,6
live,6
clear,6
gazed,6
remain,6
please,6
tomb,6
trunk,6
erect,6
seven,6
quenched,6
died,6
days,6
speaking,6
need,6
snakes,6
arrow,5
hole,5
hide,5
sons,5
coin,5
crossed,5
talking,5
hardly,5
wealth,5
lake,5
banks,5
soil,5
guilt,5
always,5
ravine,5
cloven,5
cross,5
thinking,5
tuscan,5
former,5
animals,5
wheel,5
guide,5
lived,5
leads,5
strange,5
shed,5
chance,5
ninth,5
money,5
clearly,5
florence,5
nearer,5
stands,5
horrid,5
intellect,5
